username,password,first_name,last_name,address1,city,state,postal_code,email,phone,date_of_birth,created_at,role,latitude,longitude
Jestrada491,CPSC491!,Jake,Estrada,1030 Calle Sombra,San Clemente,CA,92672,Jestrada309@csu.fullerton.edu,949-525-3135,1995-08-15,2025-11-11T07:50:22.055247,Admin,,
Htran491,CPSC491!,Hubert,Tran,27572 Sweetbrier ln,Mission Viejo,CA,92691,huberttranstemclub@gmail.com,949-525-3136,2000-11-15,2025-11-11T07:50:22.055247,Admin,,
Ktran491,CPSC491!,Kenneth,Tran,22 La Ronda,Irvine,CA,92606,kqmtran@csu.fullerton.edu,949-525-3137,2000-11-15,2025-11-11T07:50:22.055247,Admin,,
EMartinez491,CPSC491!,Eduardo,Salvador-Martinez,52 Carriage Hill Ln,Laguna Hills,CA,92653,eduardosal714@csu.fullerton.edu,949-525-3138,2000-11-15,2025-11-11T07:50:22.055247,Admin,,
rudy_312,xcr666,Genia,Watrous,1818 State Route 3,Fulton,NY,13069,rudy.312@yahoo.com,171-048-1405,1969-12-28,2025-02-12T07:50:22.055247,Customer,,
dugi22,AZIJxNnCvu,Ladawn,Ates,517 West Avalon Ave,Muscle Shoals,AL,35661,dugi22@yahoo.com,175-403-4543,1988-03-29,2024-12-26T08:25:03.624079,Customer,,
MasterSystem,jUptM0ut6K,Rosalia,Rinaldo,2780 John Hawkins Pkwy,Hoover,AL,35244,mastersystem@hotmail.com,482-927-4317,1999-01-26,2024-01-23T03:35:57.173634,Customer,33.3538,-86.8254
iHavox,WOPSajlLrq,Burma,Deyoe,374 William S Canning Blvd,Fall River,MA,02721,ihavox@gmail.com,460-746-4389,1979-08-14,2022-12-28T00:10:18.229591,Customer,41.6883,-71.1574
hujda233,CvHkg6lyIP,Susie,Seigler,150 Barnum Avenue Cutoff,Stratford,CT,06614,hujda233@gmail.com,644-552-6878,1987-01-26,2023-04-12T11:53:05.303908,Customer,41.216,-73.1304
Sonnyneo,iC2I8S8YT4,Brooke,Benjamin,2300 Dixwell Ave,Hamden,CT,06514,sonnyneo@hotmail.com,860-786-1986,1999-06-14,2024-02-26T14:09:49.152902,Customer,41.362,-72.9361
_Milan_,kerstin,Jacquelyne,Hibbler,101 South Beltline Highway,Mobile,AL,36606,milan@gmail.com,307-212-0357,1986-12-30,2023-10-02T00:57:05.505059,Customer,30.6729,-88.1009
VASEK123789,samsung1,Milford,Watchman,750 Middle Country Road,Middle Island,NY,11953,vasek123789@hotmail.com,661-801-1039,1956-05-30,2024-07-07T04:21:36.372502,Customer,40.8782,-72.9525
pupdady,fighttodeath,Shaquana,Emigh,165 Vaughan Ln,Pell City,AL,35125,pupdady@gmail.com,292-979-1533,1970-11-13,2025-10-18T13:42:09.931510,Customer,33.5979,-86.3432
ewelinn,NmnieGENce,Trisha,Tullius,280 Washington Street,Hudson,MA,01749,ewelinn@hotmail.com,896-561-2352,1960-10-03,2022-11-15T03:50:20.432145,Customer,42.3918,-71.5609
MiStr8,palata,Nova,Boden,41301 US Hwy 280,Sylacauga,AL,35150,mistr8@hotmail.com,244-594-8150,1949-10-04,2023-08-24T00:07:05.864759,Customer,33.1717,-86.2713
nikolaslivia,petr199211,Bebe,Boddie,100 Thruway Plaza,Cheektowaga,NY,14225,nikolaslivia@yahoo.com,245-692-0871,1958-02-21,2025-02-22T17:40:27.101181,Customer,42.9255,-78.7481
lalik2,solemio,Venita,Volpe,34301 Hwy 43,Thomasville,AL,36784,lalik2@gmail.com,148-692-7898,1954-01-16,2022-12-15T10:59:58.948732,Customer,31.9067,-87.7598
hugonoha,cWJSKaZhPJ,Kayleigh,Cartier,300 Colony Place,Plymouth,MA,02360,hugonoha@gmail.com,855-710-6060,1947-10-24,2023-05-12T05:09:52.982018,Customer,41.9104,-70.642
mison,logitec,Codi,Garrels,10710 Chantilly Pkwy,Montgomery,AL,36117,mison@yahoo.com,660-903-0514,1968-08-27,2024-07-07T12:33:30.841884,Customer,32.3736,-86.1833
adamgh,135821,Kraig,Grove,9248 Parkway East,Birmingham,AL,35206,adamgh@hotmail.com,228-086-3768,1961-06-27,2024-03-31T16:25:45.692528,Customer,33.5678,-86.7199
AdamPitrÃ¨urÃ¡k,aaaa,Merrilee,Shook,780 Lynnway,Lynn,MA,01905,adampitr.ur.k@yahoo.com,384-590-7931,1961-03-21,2023-03-20T20:31:58.911192,Customer,42.4694,-70.9728
Loerti,SIDshawn117,Mellissa,Mortimore,420 Buckland Hills Dr,Manchester,CT,06040,loerti@gmail.com,308-498-4458,1976-05-21,2022-12-14T20:22:07.409784,Customer,41.7777,-72.5244
momotaro,8811118426,Tameika,Reinbold,214 Haynes Street,Talladega,AL,35160,momotaro@gmail.com,000-495-1842,2004-12-25,2025-05-31T14:54:13.254297,Customer,33.4354,-86.1134
Enwar,KuR83g2p7m,Halley,Mccool,742 Main Street,North Oxford,MA,01537,enwar@gmail.com,478-139-3631,1990-02-25,2023-06-04T00:48:21.555169,Customer,42.1655,-71.886
Jano05111985,_-*-_pato*,Heidi,Abadie,2453 2Nd Avenue East,Oneonta,AL,35121,jano05111985@gmail.com,176-481-4245,1951-04-04,2024-03-26T10:05:53.708715,Customer,33.9259,-86.4741
